📺央视频道,#genre#
CCTV1,http://39.134.68.155:6610/PLTV/88888888/224/3221226514/index.m3u8?IASHttpSessionId=
CCTV1,http://39.134.68.155:6610/PLTV/88888888/224/3221226016/index.m3u8?IASHttpSessionId=
CCTV1,http://39.134.68.155:6610/PLTV/88888888/224/3221226559/index.m3u8?IASHttpSessionId=
CCTV2,http://39.134.68.155:6610/PLTV/88888888/224/3221225588/index.m3u8?IASHttpSessionId=
CCTV2,http://39.134.68.155:6610/PLTV/88888888/224/3221226540/index.m3u8?IASHttpSessionId=
CCTV3,http://39.134.68.155:6610/PLTV/88888888/224/3221226021/index.m3u8?IASHttpSessionId=
CCTV4,http://39.134.68.155:6610/PLTV/88888888/224/3221226007/index.m3u8?IASHttpSessionId=
CCTV4,http://39.134.68.155:6610/PLTV/88888888/224/3221226428/index.m3u8?IASHttpSessionId=
CCTV5,http://39.134.68.155:6610/PLTV/88888888/224/3221225715/index.m3u8?IASHttpSessionId=
CCTV5,http://39.134.68.155:6610/PLTV/88888888/224/3221226019/index.m3u8?IASHttpSessionId=
CCTV5+,http://39.134.68.155:6610/PLTV/88888888/224/3221225603/index.m3u8?IASHttpSessionId=
CCTV6,http://39.134.68.155:6610/PLTV/88888888/224/3221226010/index.m3u8?IASHttpSessionId=
CCTV7,http://39.134.68.155:6610/PLTV/88888888/224/3221225733/index.m3u8?IASHttpSessionId=
CCTV8,http://39.134.68.155:6610/PLTV/88888888/224/3221226008/index.m3u8?IASHttpSessionId=
CCTV9,http://39.134.68.155:6610/PLTV/88888888/224/3221225734/index.m3u8?IASHttpSessionId=
CCTV10,http://39.134.68.155:6610/PLTV/88888888/224/3221225730/index.m3u8?IASHttpSessionId=
CCTV10,http://39.134.68.155:6610/PLTV/88888888/224/3221226473/index.m3u8?IASHttpSessionId=
CCTV11,http://39.134.68.155:6610/PLTV/88888888/224/3221225597/index.m3u8?IASHttpSessionId=
CCTV11,http://39.134.68.155:6610/PLTV/88888888/224/3221226565/index.m3u8?IASHttpSessionId=
CCTV12,http://39.134.68.155:6610/PLTV/88888888/224/3221225731/index.m3u8?IASHttpSessionId=
CCTV12,http://39.134.68.155:6610/PLTV/88888888/224/3221226568/index.m3u8?IASHttpSessionId=
